amount,currency
43.75,EUR
385.5,GBP
495.5,GBP
117.99,GBP
624.0,USD
522.99,GBP
951.75,USD
703.75,GBP
371.99,USD
613.05,USD
843.99,GBP
647.25,USD
650.05,EUR
168.05,USD
474.25,GBP
963.9,USD
831.0,GBP
649.75,USD
797.0,EUR
824.1,GBP
213.1,EUR
46.9,EUR
397.05,USD
695.05,GBP
656.25,USD
507.49,GBP
935.99,GBP
387.1,GBP
902.9,GBP
715.05,EUR
377.95,USD
485.0,USD
911.1,GBP
759.9,GBP
163.49,USD
602.99,USD
421.99,GBP
628.49,USD
322.25,USD
199.1,EUR
820.99,GBP
323.05,EUR
11.05,GBP
465.1,GBP
955.0,USD
649.99,GBP
813.95,GBP
547.0,GBP
681.99,GBP
541.99,EUR
503.49,EUR
503.0,USD
122.9,GBP
266.0,USD
524.9,GBP
287.99,EUR
682.9,GBP
324.0,EUR
626.1,EUR
80.1,EUR
73.05,EUR
898.49,EUR
883.75,USD
985.25,GBP
460.9,EUR
248.1,GBP
89.99,GBP
334.95,USD
357.0,EUR
336.1,EUR
713.95,EUR
527.75,USD
84.95,USD
626.0,USD
360.99,USD
50.0,EUR
570.25,GBP
894.75,GBP
78.25,EUR
599.5,GBP
357.9,USD
969.49,EUR
899.0,EUR
425.5,EUR
764.9,EUR
688.75,GBP
253.05,EUR
579.5,EUR
694.05,USD
790.99,GBP
948.75,GBP
768.05,GBP
179.1,USD
916.25,USD
743.75,EUR
98.05,USD
966.25,GBP
415.25,USD
300.9,EUR
143.95,EUR
519.5,EUR
376.5,GBP
798.75,EUR
752.49,USD
888.99,EUR
710.95,USD
89.9,EUR
307.9,EUR
407.1,USD
157.49,EUR
45.05,USD
887.99,EUR
886.5,GBP
814.75,GBP
263.25,EUR
746.9,GBP
299.49,EUR
288.25,USD
241.05,EUR
553.9,GBP
506.49,GBP
254.5,USD
487.9,USD
317.75,EUR
823.05,EUR
987.9,GBP
270.0,USD
882.0,USD
246.25,EUR
712.49,EUR
519.9,USD
548.49,GBP
817.05,EUR
149.49,EUR
340.99,GBP
988.25,USD
173.1,USD
417.05,EUR
822.75,GBP
533.25,EUR
340.95,USD
526.0,EUR
836.1,GBP
282.5,EUR
843.5,EUR
113.99,GBP
522.5,EUR
666.25,EUR
112.05,USD
946.95,GBP
553.5,USD
311.1,GBP
847.95,USD
855.49,EUR
384.49,GBP
991.1,EUR
771.25,GBP
305.95,GBP
641.49,USD
201.05,USD
928.49,USD
265.25,GBP
150.25,USD
974.99,GBP
447.49,USD
858.99,EUR
116.1,GBP
880.95,USD
376.75,USD
469.75,USD
618.25,USD
763.1,EUR
932.05,EUR
717.99,EUR
709.1,USD
565.75,GBP
143.99,USD
824.5,USD
913.0,GBP
474.49,GBP
255.95,GBP
456.49,EUR
941.9,GBP
638.75,GBP
434.49,USD
94.75,USD
232.0,USD
912.0,GBP
80.75,EUR
12.05,GBP
151.9,EUR
575.99,USD
536.99,GBP
448.75,EUR
604.9,USD
118.5,USD
219.05,USD
249.9,USD
64.49,USD
16.05,EUR
556.5,USD
711.99,USD
226.25,EUR
423.05,USD
631.99,GBP
307.25,USD
77.95,EUR
34.25,GBP
95.49,EUR
84.95,GBP
718.49,GBP
13.95,GBP
924.05,GBP
115.99,GBP
256.1,EUR
916.9,EUR
455.9,USD
485.25,GBP
185.49,USD
241.95,EUR
974.5,GBP
722.5,GBP
175.05,GBP
997.99,USD
281.99,EUR
476.9,EUR
892.1,EUR
650.5,EUR
980.25,EUR
867.5,USD
391.0,USD
134.25,EUR
809.75,USD
467.05,GBP
900.49,EUR
152.5,EUR
735.9,GBP
883.75,USD
265.75,USD
933.75,GBP
600.49,EUR
394.49,GBP
369.49,GBP
123.5,EUR
828.0,GBP
205.0,GBP
874.0,EUR
735.9,USD
600.5,EUR
251.49,EUR
312.95,USD
176.95,GBP
198.5,USD
793.0,USD
210.5,USD
174.1,USD
628.0,GBP
733.25,EUR
174.99,USD
865.5,USD
39.1,EUR
871.49,GBP
614.99,USD
433.9,GBP
516.25,GBP
473.25,EUR
405.99,USD
419.49,USD
784.1,EUR
324.0,GBP
837.95,GBP
865.9,USD
338.9,USD
428.05,EUR
318.5,EUR
398.25,GBP
960.95,EUR
319.9,USD
794.49,USD
482.05,EUR
115.1,EUR
985.95,GBP
60.99,GBP
276.05,EUR
54.75,USD
893.9,USD
230.49,EUR
285.25,EUR
987.95,EUR
451.95,EUR
924.49,GBP
102.99,GBP
472.75,USD
925.0,USD
984.9,GBP
563.49,EUR
998.95,USD
79.49,EUR
533.9,USD
283.9,GBP
453.0,EUR
717.5,USD
199.1,GBP
274.05,USD
913.05,USD
599.25,EUR
18.05,EUR
614.9,USD
77.95,EUR
332.95,USD
121.9,GBP
134.49,EUR
978.75,GBP
472.05,EUR
449.99,EUR
816.1,GBP
922.0,USD
243.49,GBP
561.25,EUR
547.0,USD
300.0,GBP
358.0,EUR
663.9,GBP
340.99,GBP
17.0,GBP
156.5,GBP
775.1,GBP
